_pid,_digital_object_type.string_key,_doi,_identifiers-1,_parent_digital_objects-1.pid,_project.string_key,_publish_targets-1.string_key,_publish_targets-2.string_key,collection-1:collection_term.clio_id,collection-1:collection_term.uri,collection-1:collection_term.value,date_other-1:date_other_value,date_other_textual-1:date_other_textual_value,digital_origin-1:digital_origin_value,form-1:form_term.authority,form-1:form_term.uri,form-1:form_term.value,genre-1:genre_term.authority,genre-1:genre_term.uri,genre-1:genre_term.value,language-1:language_term.authority,language-1:language_term.uri,language-1:language_term.value,location-1:location_shelf_location-1:location_shelf_location_call_number,location-1:location_sublocation,location-1:location_term.authority,location-1:location_term.code,location-1:location_term.uri,location-1:location_term.value,name-1:name_term.authority,name-1:name_term.name_type,name-1:name_term.uni,name-1:name_term.uri,name-1:name_term.value,name-2:name_role-1:name_role_term.authority,name-2:name_role-1:name_role_term.uri,name-2:name_role-1:name_role_term.value,name-2:name_term.authority,name-2:name_term.name_type,name-2:name_term.uri,name-2:name_term.value,name-3:name_role-1:name_role_term.authority,name-3:name_role-1:name_role_term.uri,name-3:name_role-1:name_role_term.value,name-3:name_term.authority,name-3:name_term.name_type,name-3:name_term.uri,name-3:name_term.value,name-4:name_term.name_type,name-4:name_term.uri,name-4:name_term.value,name-5:name_role-1:name_role_term.authority,name-5:name_role-1:name_role_term.uri,name-5:name_role-1:name_role_term.value,name-5:name_term.authority,name-5:name_term.name_type,name-5:name_term.uri,name-5:name_term.value,object_in_context_url-1:object_in_context_url_value,record_content_source-1:record_content_source_value,record_origin-1:record_origin_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_borough_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_city-1:subject_hierarchical_geographic_city_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_coordinates_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_country_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_state_text_value,subject_hierarchical_geographic-2:subject_hierarchical_geographic_city-1:subject_hierarchical_geographic_city_value,subject_hierarchical_geographic-2:subject_hierarchical_geographic_coordinates_value,subject_hierarchical_geographic-2:subject_hierarchical_geographic_country_text_value,subject_hierarchical_geographic-2:subject_hierarchical_geographic_province_text_value,subject_hierarchical_geographic-2:subject_hierarchical_geographic_state_text_value,subject_hierarchical_geographic-3:subject_hierarchical_geographic_borough_text_value,subject_hierarchical_geographic-3:subject_hierarchical_geographic_city-1:subject_hierarchical_geographic_city_value,subject_hierarchical_geographic-3:subject_hierarchical_geographic_coordinates_value,subject_hierarchical_geographic-3:subject_hierarchical_geographic_country_text_value,subject_hierarchical_geographic-3:subject_hierarchical_geographic_state_text_value,subject_hierarchical_geographic-4:subject_hierarchical_geographic_city-1:subject_hierarchical_geographic_city_value,subject_hierarchical_geographic-4:subject_hierarchical_geographic_coordinates_value,subject_hierarchical_geographic-4:subject_hierarchical_geographic_country_text_value,subject_hierarchical_geographic-4:subject_hierarchical_geographic_state_text_value,subject_hierarchical_geographic-5:subject_hierarchical_geographic_city-1:subject_hierarchical_geographic_city_value,subject_hierarchical_geographic-5:subject_hierarchical_geographic_coordinates_value,subject_hierarchical_geographic-5:subject_hierarchical_geographic_country_text_value,subject_hierarchical_geographic-5:subject_hierarchical_geographic_state_text_value,subject_hierarchical_geographic-6:subject_hierarchical_geographic_city-1:subject_hierarchical_geographic_city_value,subject_hierarchical_geographic-6:subject_hierarchical_geographic_coordinates_value,subject_hierarchical_geographic-6:subject_hierarchical_geographic_country_text_value,subject_hierarchical_geographic-6:subject_hierarchical_geographic_state_text_value,subject_hierarchical_geographic-7:subject_hierarchical_geographic_city-1:subject_hierarchical_geographic_city_value,subject_hierarchical_geographic-7:subject_hierarchical_geographic_coordinates_value,subject_hierarchical_geographic-7:subject_hierarchical_geographic_country_text_value,subject_hierarchical_geographic-7:subject_hierarchical_geographic_state_text_value,subject_name-1:subject_name_term.authority,subject_name-1:subject_name_term.name_type,subject_name-1:subject_name_term.uni,subject_name-1:subject_name_term.uri,subject_name-1:subject_name_term.value,subject_name-2:subject_name_term.name_type,subject_name-2:subject_name_term.uri,subject_name-2:subject_name_term.value,subject_name-3:subject_name_term.name_type,subject_name-3:subject_name_term.uri,subject_name-3:subject_name_term.value,subject_name-4:subject_name_term.name_type,subject_name-4:subject_name_term.uri,subject_name-4:subject_name_term.value,subject_topic-1:subject_topic_term.authority,subject_topic-1:subject_topic_term.uri,subject_topic-1:subject_topic_term.value,title-1:title_sort_portion,type_of_resource-1:type_of_resource_value
ldpd:395277,item,doi:10.7916/D88K8N25,ave_biggert_00002,ldpd:395275,biggert,biggert,dlc_catalog,9599135,http://id.library.columbia.edu/term/7e93abce-bf32-47ae-85a4-40637ece835a,Biggert Collection of Architectural Vignettes on Commercial Stationery,1880,1880-1889,reformatted digital,aat,http://vocab.getty.edu/aat/300026877,correspondence,aat,http://vocab.getty.edu/aat/300026879,Letters (correspondence),iso639-2b,http://id.loc.gov/vocabulary/languages/eng,English,ave_biggert_00002,Avery Classics Collection,marcorg,NNC-A,http://id.loc.gov/vocabulary/organizations/nnca,"Avery Architectural & Fine Arts Library, Columbia University",,corporate,,http://id.library.columbia.edu/term/a7cd8686-3afe-4131-99fb-282e2038d017,A. & B. Moog Wholesale Grocers,marcrelator,http://id.loc.gov/vocabulary/relators/col,Collector,naf,personal,http://id.loc.gov/authorities/names/no2010120768,"Biggert, Robert",,,,,,,,,,,,,,,,,,https://biggert.cul.columbia.edu/items/view/ave_biggert_00002,NNC,Created and edited in general conformance to MODS Guideline (Version 3).,,Mobile,"30.694444444444446,-88.04305555555555",United States,Alabama,,,,,,,,,,,,,,,,,,,,,,,,,,,,corporate,,http://id.library.columbia.edu/term/a7cd8686-3afe-4131-99fb-282e2038d017,A. & B. Moog Wholesale Grocers,,,,,,,,,,lcsh,http://id.loc.gov/authorities/subjects/sh85017769,Buildings,A. & B. Moog Wholesale Grocers. Letter,still image
ldpd:396792,item,doi:10.7916/D8J97JK0,ave_biggert_01531,ldpd:395275,biggert,biggert,dlc_catalog,9599135,http://id.library.columbia.edu/term/7e93abce-bf32-47ae-85a4-40637ece835a,Biggert Collection of Architectural Vignettes on Commercial Stationery,1870,1870,reformatted digital,aat,http://vocab.getty.edu/aat/300264821,printed ephemera,aat,http://vocab.getty.edu/aat/300027568,Invoices,iso639-2b,http://id.loc.gov/vocabulary/languages/eng,English,ave_biggert_01531,Avery Classics Collection,marcorg,NNC-A,http://id.loc.gov/vocabulary/organizations/nnca,"Avery Architectural & Fine Arts Library, Columbia University",,corporate,,http://id.library.columbia.edu/term/69636c8f-abb4-4f42-b723-eb4fe37c218d,A. & C. W. Holbrook,marcrelator,http://id.loc.gov/vocabulary/relators/col,Collector,naf,personal,http://id.loc.gov/authorities/names/no2010120768,"Biggert, Robert",,,,,,,,,,,,,,,,,,https://biggert.cul.columbia.edu/items/view/ave_biggert_01531,NNC,Created and edited in general conformance to MODS Guideline (Version 3).,,Providence,"41.82361111111111,-71.42222222222223",United States,Rhode Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,corporate,,http://id.library.columbia.edu/term/69636c8f-abb4-4f42-b723-eb4fe37c218d,A. & C. W. Holbrook,,,,,,,,,,lcsh,http://id.loc.gov/authorities/subjects/sh85017769,Buildings,A. & C. W. Holbrook. Bill,still image
ldpd:395974,item,doi:10.7916/D873830H,ave_biggert_00702,ldpd:395275,biggert,biggert,dlc_catalog,9599135,http://id.library.columbia.edu/term/7e93abce-bf32-47ae-85a4-40637ece835a,Biggert Collection of Architectural Vignettes on Commercial Stationery,1895,1895,reformatted digital,aat,http://vocab.getty.edu/aat/300026877,correspondence,aat,http://vocab.getty.edu/aat/300026879,Letters (correspondence),iso639-2b,http://id.loc.gov/vocabulary/languages/eng,English,ave_biggert_00702,Avery Classics Collection,marcorg,NNC-A,http://id.loc.gov/vocabulary/organizations/nnca,"Avery Architectural & Fine Arts Library, Columbia University",,corporate,,http://id.library.columbia.edu/term/84180603-c254-4df5-875a-fcb60ca89ff6,A. B. Mayer M'f'g Co.,marcrelator,http://id.loc.gov/vocabulary/relators/col,Collector,naf,personal,http://id.loc.gov/authorities/names/no2010120768,"Biggert, Robert",,,,,,,,,,,,,,,,,,https://biggert.cul.columbia.edu/items/view/ave_biggert_00702,NNC,Created and edited in general conformance to MODS Guideline (Version 3).,,St. Louis,"38.62722222222222,-90.19777777777779",United States,Missouri,,,,,,,,,,,,,,,,,,,,,,,,,,,,corporate,,http://id.library.columbia.edu/term/84180603-c254-4df5-875a-fcb60ca89ff6,A. B. Mayer M'f'g Co.,,,,,,,,,,lcsh,http://id.loc.gov/authorities/subjects/sh85017769,Buildings,A. B. Mayer M'f'g Co.. Letter,still image
ldpd:395876,item,doi:10.7916/D8W96N7G,ave_biggert_00603,ldpd:395275,biggert,biggert,dlc_catalog,9599135,http://id.library.columbia.edu/term/7e93abce-bf32-47ae-85a4-40637ece835a,Biggert Collection of Architectural Vignettes on Commercial Stationery,1880,1880-1889,reformatted digital,aat,http://vocab.getty.edu/aat/300026877,correspondence,aat,http://vocab.getty.edu/aat/300026879,Letters (correspondence),iso639-2b,http://id.loc.gov/vocabulary/languages/eng,English,ave_biggert_00603,Avery Classics Collection,marcorg,NNC-A,http://id.loc.gov/vocabulary/organizations/nnca,"Avery Architectural & Fine Arts Library, Columbia University",,corporate,,http://id.library.columbia.edu/term/ca6c77e1-da13-4b5d-a0ea-6ef1c896b4c7,"A. Backus, Jr. & Sons",marcrelator,http://id.loc.gov/vocabulary/relators/col,Collector,naf,personal,http://id.loc.gov/authorities/names/no2010120768,"Biggert, Robert",,,,,,,,,,,,,,,,,,https://biggert.cul.columbia.edu/items/view/ave_biggert_00603,NNC,Created and edited in general conformance to MODS Guideline (Version 3).,,Detroit,"42.331388888888895,-83.04583333333333",United States,Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,corporate,,http://id.library.columbia.edu/term/ca6c77e1-da13-4b5d-a0ea-6ef1c896b4c7,"A. Backus, Jr. & Sons",,,,,,,,,,lcsh,http://id.loc.gov/authorities/subjects/sh85017769,Buildings,"A. Backus, Jr. & Sons. Letter",still image
ldpd:395778,item,doi:10.7916/D8JD67T2,ave_biggert_00505,ldpd:395275,biggert,biggert,dlc_catalog,9599135,http://id.library.columbia.edu/term/7e93abce-bf32-47ae-85a4-40637ece835a,Biggert Collection of Architectural Vignettes on Commercial Stationery,1900,1900-1909,reformatted digital,aat,http://vocab.getty.edu/aat/300264821,printed ephemera,aat,http://vocab.getty.edu/aat/300027568,Invoices,iso639-2b,http://id.loc.gov/vocabulary/languages/eng,English,ave_biggert_00505,Avery Classics Collection,marcorg,NNC-A,http://id.loc.gov/vocabulary/organizations/nnca,"Avery Architectural & Fine Arts Library, Columbia University",,corporate,,http://id.library.columbia.edu/term/ec2d4df6-6e69-43b0-85f8-0468497f9d2f,A. C. Hunt & Co.,marcrelator,http://id.loc.gov/vocabulary/relators/col,Collector,naf,personal,http://id.loc.gov/authorities/names/no2010120768,"Biggert, Robert",,,,,,,,,,,,,,,,,,https://biggert.cul.columbia.edu/items/view/ave_biggert_00505,NNC,Created and edited in general conformance to MODS Guideline (Version 3).,,Springfield,"42.112411,-72.547455",United States,Massachusetts,,,,,,,,,,,,,,,,,,,,,,,,,,,,corporate,,http://id.library.columbia.edu/term/ec2d4df6-6e69-43b0-85f8-0468497f9d2f,A. C. Hunt & Co.,,,,,,,,,,lcsh,http://id.loc.gov/authorities/subjects/sh85017769,Buildings,A. C. Hunt & Co.. Bill,still image
ldpd:395844,item,doi:10.7916/D8155V26,ave_biggert_00571,ldpd:395275,biggert,biggert,dlc_catalog,9599135,http://id.library.columbia.edu/term/7e93abce-bf32-47ae-85a4-40637ece835a,Biggert Collection of Architectural Vignettes on Commercial Stationery,1890,1890-1899,reformatted digital,aat,http://vocab.getty.edu/aat/300264821,printed ephemera,aat,http://vocab.getty.edu/aat/300027568,Invoices,iso639-2b,http://id.loc.gov/vocabulary/languages/eng,English,ave_biggert_00571,Avery Classics Collection,marcorg,NNC-A,http://id.loc.gov/vocabulary/organizations/nnca,"Avery Architectural & Fine Arts Library, Columbia University",,corporate,,http://id.library.columbia.edu/term/52489fa7-9af4-4bca-8820-243002533d7f,A. C. Sawyer & Co.,marcrelator,http://id.loc.gov/vocabulary/relators/col,Collector,naf,personal,http://id.loc.gov/authorities/names/no2010120768,"Biggert, Robert",,,,,,,,,,,,,,,,,,https://biggert.cul.columbia.edu/items/view/ave_biggert_00571,NNC,Created and edited in general conformance to MODS Guideline (Version 3).,,Bangor,"44.8,-68.8",United States,Maine,,,,,,,,,,,,,,,,,,,,,,,,,,,,corporate,,http://id.library.columbia.edu/term/52489fa7-9af4-4bca-8820-243002533d7f,A. C. Sawyer & Co.,,,,,,,,,,lcsh,http://id.loc.gov/authorities/subjects/sh85017769,Buildings,A. C. Sawyer & Co.. Bill,still image
ldpd:396645,item,doi:10.7916/D8J11FBK,ave_biggert_01384,ldpd:395275,biggert,biggert,dlc_catalog,9599135,http://id.library.columbia.edu/term/7e93abce-bf32-47ae-85a4-40637ece835a,Biggert Collection of Architectural Vignettes on Commercial Stationery,1922,1922,reformatted digital,aat,http://vocab.getty.edu/aat/300264821,printed ephemera,aat,http://vocab.getty.edu/aat/300027568,Invoices,iso639-2b,http://id.loc.gov/vocabulary/languages/eng,English,ave_biggert_01384,Avery Classics Collection,marcorg,NNC-A,http://id.loc.gov/vocabulary/organizations/nnca,"Avery Architectural & Fine Arts Library, Columbia University",,corporate,,http://id.library.columbia.edu/term/1910dab3-6a45-4f8a-9060-a516283ae740,A. F. Bornot Bro. Co.,marcrelator,http://id.loc.gov/vocabulary/relators/col,Collector,naf,personal,http://id.loc.gov/authorities/names/no2010120768,"Biggert, Robert",,,,,,,,,,,,,,,,,,https://biggert.cul.columbia.edu/items/view/ave_biggert_01384,NNC,Created and edited in general conformance to MODS Guideline (Version 3).,,Philadelphia,"40.00944444444445,-75.13333333333334",United States,Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,,,,,corporate,,http://id.library.columbia.edu/term/1910dab3-6a45-4f8a-9060-a516283ae740,A. F. Bornot Bro. Co.,,,,,,,,,,lcsh,http://id.loc.gov/authorities/subjects/sh85017769,Buildings,A. F. Bornot Bro. Co.. Bill,still image
ldpd:396202,item,doi:10.7916/D8RV20VF,ave_biggert_00933,ldpd:395275,biggert,biggert,dlc_catalog,9599135,http://id.library.columbia.edu/term/7e93abce-bf32-47ae-85a4-40637ece835a,Biggert Collection of Architectural Vignettes on Commercial Stationery,1890,1890-1899,reformatted digital,aat,http://vocab.getty.edu/aat/300264821,printed ephemera,aat,http://vocab.getty.edu/aat/300027568,Invoices,iso639-2b,http://id.loc.gov/vocabulary/languages/eng,English,ave_biggert_00933,Avery Classics Collection,marcorg,NNC-A,http://id.loc.gov/vocabulary/organizations/nnca,"Avery Architectural & Fine Arts Library, Columbia University",,corporate,,http://id.library.columbia.edu/term/dd02c5ed-effd-4c6f-9264-8bb2af8493d9,A. F. Buchanan & Sons,marcrelator,http://id.loc.gov/vocabulary/relators/col,Collector,naf,personal,http://id.loc.gov/authorities/names/no2010120768,"Biggert, Robert",,,,,,,,,,,,,,,,,,https://biggert.cul.columbia.edu/items/view/ave_biggert_00933,NNC,Created and edited in general conformance to MODS Guideline (Version 3).,,New York,"40.71277777777778,-74.00583333333333",United States,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,corporate,,http://id.library.columbia.edu/term/dd02c5ed-effd-4c6f-9264-8bb2af8493d9,A. F. Buchanan & Sons,,,,,,,,,,lcsh,http://id.loc.gov/authorities/subjects/sh85017769,Buildings,A. F. Buchanan & Sons. Bill,still image
ldpd:396203,item,doi:10.7916/D8N31813,ave_biggert_00934,ldpd:395275,biggert,biggert,dlc_catalog,9599135,http://id.library.columbia.edu/term/7e93abce-bf32-47ae-85a4-40637ece835a,Biggert Collection of Architectural Vignettes on Commercial Stationery,1899,1899,reformatted digital,aat,http://vocab.getty.edu/aat/300264821,printed ephemera,aat,http://vocab.getty.edu/aat/300027568,Invoices,iso639-2b,http://id.loc.gov/vocabulary/languages/eng,English,ave_biggert_00934,Avery Classics Collection,marcorg,NNC-A,http://id.loc.gov/vocabulary/organizations/nnca,"Avery Architectural & Fine Arts Library, Columbia University",,corporate,,http://id.library.columbia.edu/term/f645ee75-739f-4201-83f7-bb6cb5370c78,A. Featherstone & Co.,marcrelator,http://id.loc.gov/vocabulary/relators/col,Collector,naf,personal,http://id.loc.gov/authorities/names/no2010120768,"Biggert, Robert",,,,,,,,,,,,,,,,,,https://biggert.cul.columbia.edu/items/view/ave_biggert_00934,NNC,Created and edited in general conformance to MODS Guideline (Version 3).,,New York,"40.71277777777778,-74.00583333333333",United States,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,corporate,,http://id.library.columbia.edu/term/f645ee75-739f-4201-83f7-bb6cb5370c78,A. Featherstone & Co.,,,,,,,,,,lcsh,http://id.loc.gov/authorities/subjects/sh85017769,Buildings,A. Featherstone & Co.. Bill,still image
ldpd:396204,item,doi:10.7916/D8HB0H7G,ave_biggert_00935,ldpd:395275,biggert,biggert,dlc_catalog,9599135,http://id.library.columbia.edu/term/7e93abce-bf32-47ae-85a4-40637ece835a,Biggert Collection of Architectural Vignettes on Commercial Stationery,1890,1890-1899,reformatted digital,aat,http://vocab.getty.edu/aat/300264821,printed ephemera,aat,http://vocab.getty.edu/aat/300027568,Invoices,iso639-2b,http://id.loc.gov/vocabulary/languages/eng,English,ave_biggert_00935,Avery Classics Collection,marcorg,NNC-A,http://id.loc.gov/vocabulary/organizations/nnca,"Avery Architectural & Fine Arts Library, Columbia University",,corporate,,http://id.library.columbia.edu/term/245623b1-e57c-4a10-8153-133cd597e4b6,A. G. Newman,marcrelator,http://id.loc.gov/vocabulary/relators/col,Collector,naf,personal,http://id.loc.gov/authorities/names/no2010120768,"Biggert, Robert",,,,,,,,,,,,,,,,,,https://biggert.cul.columbia.edu/items/view/ave_biggert_00935,NNC,Created and edited in general conformance to MODS Guideline (Version 3).,,New York,"40.71277777777778,-74.00583333333333",United States,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,corporate,,http://id.library.columbia.edu/term/245623b1-e57c-4a10-8153-133cd597e4b6,A. G. Newman,,,,,,,,,,lcsh,http://id.loc.gov/authorities/subjects/sh85017769,Buildings,A. G. Newman. Bill,still image
